direction,run,date,baseline_ticker,gps_ticker,baseline_value,gps_value
short,2,2020-10-01,CO,NG,1182.5266917641068,324.9451113353797
short,2,2020-11-01,GD,SU,1154.648906779397,354.40654381189387
short,2,2020-12-01,SV,NG,792.2459045421007,384.1007306078882
short,2,2021-01-01,NG,ZS,713.7526940358101,349.1373167902677
short,2,2021-02-01,NG,CF,746.5309163264579,349.8669789954212
short,2,2021-03-01,SU,CO,860.7751104564949,483.4615652843591
short,2,2021-04-01,CF,SU,762.4841719315042,437.85463231236946
short,2,2021-05-01,NG,CT,849.243491109277,484.91970932245664
short,2,2021-06-01,CT,ZW,769.1590019965752,478.4609317137755
short,2,2021-07-01,HE,ZS,743.6531570862775,490.8538995109099
short,2,2021-08-01,CT,HE,698.3987218964406,488.92071032778057
short,2,2021-09-01,SV,ZC,755.5287831079958,535.1700703023945
short,2,2021-10-01,CO,CC,723.8097278036979,597.4364761720856
short,2,2021-11-01,SU,CO,732.8488844354988,673.9120627278955
short,2,2021-12-01,NG,CO,1022.353276084339,669.937309611289
short,2,2022-01-01,CO,ZS,991.575218604929,553.5929377984259
short,2,2022-02-01,NG,CF,879.8775020617367,507.4668001120641
short,2,2022-03-01,SU,CO,757.901300825307,412.0313923659893
short,2,2022-04-01,CF,SU,749.6475113458371,407.59938949650245
short,2,2022-05-01,NG,CT,629.8717202217036,436.81015688465703
short,2,2022-06-01,HO,CT,774.5165090526165,555.7633050547975
short,2,2022-07-01,ZC,ZS,765.4932788850859,542.392551703588
short,2,2022-08-01,CT,HE,660.147154319049,638.9207384984123
short,2,2022-09-01,SV,ZC,519.0197695100561,694.7959283069272
short,2,2022-10-01,CO,SV,455.7894523018319,789.7193209692746
short,2,2022-11-01,CO,SU,477.77945141500146,759.8909450925196
short,2,2022-12-01,NG,CO,637.6516240046002,788.9457246775751
short,2,2023-01-01,CO,CC,621.1695961163401,790.7147934479657
short,2,2023-02-01,NG,CC,565.0900267395506,777.2818709028361
short,2,2023-03-01,SU,CO,529.0686145913226,711.2505805579873
short,2,2023-04-01,CF,HE,523.488544661183,665.6241307428351
short,2,2023-05-01,SU,CT,499.4851974472962,622.5361063128278
short,2,2023-06-01,CO,ZW,380.161329190127,512.6453968327579
short,2,2023-07-01,ZC,ZW,357.7802580718761,521.7873400825459
short,2,2023-08-01,CT,HE,333.9849549320651,612.6744732411872
short,2,2023-09-01,ZC,SV,338.1252458865181,745.4127965005524
short,2,2023-10-01,SV,CC,330.61880708614603,685.4717321563777
short,2,2023-11-01,CO,SU,380.3775231443933,713.863826132709
short,2,2023-12-01,NG,CO,414.4858576951936,767.211217801174
short,2,2024-01-01,CC,CO,380.8375041668089,664.9761370790885
short,2,2024-02-01,GD,CF,396.9949078327025,639.0032391333403
short,2,2024-03-01,SU,CO,338.9516519548208,549.8851068905127
short,2,2024-04-01,CF,GD,311.9705117881849,547.6166436520035
short,2,2024-05-01,SU,ZC,299.3066491656865,486.36772285215835
short,2,2024-06-01,CT,SV,324.11516017607096,530.317178743662
short,2,2024-07-01,ZW,HE,413.45935782753213,593.3734508775444
short,2,2024-08-01,SV,GD,396.69153055730465,589.3866988869042
short,2,2024-09-01,ZC,GD,402.3061276012766,566.4554509554953
short,2,2024-10-01,SV,CP,370.0880782615248,580.8772392357737
short,2,2024-11-01,CO,NG,382.83851238365196,592.8744258496891
short,2,2024-12-01,NG,CC,309.6154333829894,425.89879847940847
long,3,2016-01-01,SU,GD,762.3801053665385,978.1605572171396
long,3,2016-02-01,HO,ZS,918.3637329613929,907.6766556055197
long,3,2016-03-01,HO,NG,1165.9865730013778,979.6881705756874
long,3,2016-04-01,CP,ZW,1139.8938826125843,955.7110087386809
long,3,2016-05-01,CP,HO,1016.5507823706633,1056.9694024145458
long,3,2016-06-01,SU,CC,1155.803382174243,1163.6815319882855
long,3,2016-07-01,SV,GD,1135.4759220501949,1256.6638304645917
long,3,2016-08-01,CP,ZC,1057.1280770423118,1090.8515467265001
long,3,2016-09-01,SU,ZW,1203.9406762599608,963.3516583562017
long,3,2016-10-01,ZC,CO,1472.7540245479222,754.1401496150961
long,3,2016-11-01,HE,ZC,1348.043760792663,674.9890339748022
long,3,2016-12-01,SU,ZC,1279.7487944027341,633.2430309974732
long,3,2017-01-01,HE,SU,1452.9230179312215,749.758172130034
long,3,2017-02-01,HO,CP,1738.3090147613216,721.6570414214586
long,3,2017-03-01,HO,CF,1626.3730250708425,687.7554169973117
long,3,2017-04-01,ZC,CP,1502.615845973162,707.8146871037355
long,3,2017-05-01,ZC,HE,1466.7878731049386,819.1356374704002
long,3,2017-06-01,CF,CT,1771.098615257661,716.8189892746212
long,3,2017-07-01,SV,ZW,1900.131461978444,710.2579864773143
long,3,2017-08-01,HO,ZS,2083.2250344832437,648.5220519507636
long,3,2017-09-01,SU,CP,1937.9162437467833,592.2828185060673
long,3,2017-10-01,ZC,LE,1874.0330809407576,619.3573926184914
long,3,2017-11-01,CT,CO,2039.4377493154898,701.4998594615168
long,3,2017-12-01,ZW,NG,2014.7502490848412,745.8008373692136
long,3,2018-01-01,HE,ZS,1999.1675493874964,775.4819153951746
long,3,2018-02-01,HO,CC,1890.163004383053,912.1641462892035
long,3,2018-03-01,CO,CT,2086.1159123722864,814.7662984132148
long,3,2018-04-01,NG,CC,1897.1033474764313,862.3562103596637
long,3,2018-05-01,CP,CF,1819.983533959069,898.3572110923545
long,3,2018-06-01,CF,LE,1661.8182455511935,942.236800363973
long,3,2018-07-01,SV,LE,1649.330723497594,914.3333669527341
long,3,2018-08-01,HO,CT,1705.8372768095953,850.7763237303411
long,3,2018-09-01,SU,CT,1814.9570278635158,828.1119564478579
long,3,2018-10-01,ZC,ZW,1829.7353332658986,853.2339329058674
long,3,2018-11-01,CT,ZS,1860.416336789001,958.5465269048641
long,3,2018-12-01,SU,ZC,1687.4464405117421,912.297864254023
long,3,2019-01-01,HE,SU,1371.9027718440648,919.1027446796562
long,3,2019-02-01,HO,LE,1485.3511292508174,951.8628105370212
long,3,2019-03-01,CO,CT,1751.4122075201956,1001.9012543067912
long,3,2019-04-01,NG,SV,1445.7957036617704,1006.7715196677698
long,3,2019-05-01,CP,HO,1204.9013750655317,953.26055561073
long,3,2019-06-01,NG,SV,1228.3239463228101,1033.7134475170144
long,3,2019-07-01,SV,LE,1459.1195236156643,1028.6887279081873
long,3,2019-08-01,HO,HO,1309.698184069644,923.3457143906597
long,3,2019-09-01,SU,SU,1330.3046176127857,937.8733836906304
long,3,2019-10-01,ZC,ZC,1332.46618473198,939.3973025294533
long,3,2019-11-01,NG,NG,1157.860772507478,816.2993544312559
long,3,2019-12-01,SU,CT,1065.4052488859618,913.3369460150341
long,3,2020-01-01,ZS,GD,894.8347266759579,970.4186107249583
long,3,2020-02-01,HO,CP,1018.2808225038983,990.8272847484411
long,3,2020-03-01,CO,GD,519.454608531436,986.5955552618683
long,3,2020-04-01,HO,CP,512.8869081953947,1119.886450482396
long,3,2020-05-01,ZC,SU,508.2482018525066,954.7535627900149
long,3,2020-06-01,CF,ZS,531.3796264591456,963.5973094719894
long,3,2020-07-01,SV,SU,677.6095264287643,1032.6689755512689
long,3,2020-08-01,GD,CT,657.1436789624512,941.902901786891
long,3,2020-09-01,SU,CP,643.4974281479108,973.2741196084879
long,3,2020-10-01,ZC,NG,677.2318669803703,912.1570456388786
long,3,2020-11-01,CT,CP,676.7641611532524,1075.060612406599
long,3,2020-12-01,LE,CP,630.7275782517725,977.8675325994188
long,3,2021-01-01,CT,HE,650.1125755893955,1017.916446992093
long,3,2021-02-01,HO,LE,738.0301268879897,1059.59785776353
long,3,2021-03-01,ZW,GD,709.1314886855273,1093.5333425644005
long,3,2021-04-01,HO,CC,785.3836072564228,985.4393416102188
long,3,2021-05-01,ZC,HO,735.4644749443804,1188.132661407252
long,3,2021-06-01,CF,HE,793.3296718690921,1175.931788492554
long,3,2021-07-01,SV,SU,731.5663406465181,1159.163566786017
long,3,2021-08-01,GD,CF,739.9819678315288,1313.2779754226676
long,3,2021-09-01,SU,CC,704.3260870652521,1133.3168184872327
long,3,2021-10-01,ZC,SU,670.2440813313348,994.9367399642671
long,3,2021-11-01,CT,CO,657.9462412749855,754.1574739585918
long,3,2021-12-01,LE,HE,652.2660153040302,677.7730751709157
long,3,2022-01-01,CT,CO,710.6439364371938,1020.8695363924429
long,3,2022-02-01,HO,CO,858.6062549040636,1049.830865918519
long,3,2022-03-01,ZW,GD,906.6122130548603,1050.0769428729766
long,3,2022-04-01,HO,ZW,1180.994749580769,1104.950707859763
long,3,2022-05-01,CO,ZC,1314.0543875160556,919.1230676918011
long,3,2022-06-01,SU,ZS,1312.8795240217853,885.3529610846916
long,3,2022-07-01,SV,ZS,1261.7447003306163,907.1430800892497
long,3,2022-08-01,NG,SV,1136.7540361349663,852.1056700014551
long,3,2022-09-01,NG,ZC,628.0677406889602,841.9552768523456
long,3,2022-10-01,ZC,CF,631.6939478591249,663.5225671660262
long,3,2022-11-01,CT,HE,707.8288131819882,649.6722235601125
long,3,2022-12-01,LE,CF,669.9690575417882,648.3909670482701
long,3,2023-01-01,NG,HE,409.41878975329297,563.9146231582887
long,3,2023-02-01,HO,CC,422.58532068061663,563.3727124415811
long,3,2023-03-01,ZW,CT,431.80911887732856,508.252540866455
long,3,2023-04-01,HO,ZC,365.85599272532886,477.2638168880773
long,3,2023-05-01,CF,CO,378.648107414611,462.6386559437237
long,3,2023-06-01,CO,CF,469.31291142908645,356.17997866846815
long,3,2023-07-01,SV,CT,508.3149923284914,372.76816486880546
long,3,2023-08-01,NG,CC,503.2939104827646,437.6460456543295
long,3,2023-09-01,SU,CT,538.2898136390277,388.6887406869966
long,3,2023-10-01,ZC,CP,544.9145829962453,371.5694040120242
long,3,2023-11-01,CT,SU,495.21232704496924,369.52303926216615
long,3,2023-12-01,GD,ZS,487.8372528700389,364.8481031944075
long,3,2024-01-01,CO,ZW,485.0815953895761,367.386248114737
long,3,2024-02-01,HO,ZC,505.55806325391967,360.2564692061034
long,3,2024-03-01,ZW,HE,496.951582271769,385.63272550624026
long,3,2024-04-01,CT,CO,487.938993830534,400.4236700726485
long,3,2024-05-01,CF,NG,510.6822974884581,549.5104671819707
long,3,2024-06-01,NG,LE,461.6943617845633,585.0281294104415
long,3,2024-07-01,SV,CC,422.7949494505936,544.0670824471238
long,3,2024-08-01,NG,LE,480.5012287512394,543.6328640428328
long,3,2024-09-01,SU,HO,517.2342810965727,565.0606542368888
long,3,2024-10-01,ZC,CC,485.0122738155107,522.9772366461473
long,3,2024-11-01,CC,CO,734.5235283262568,538.4227356194388
long,3,2024-12-01,ZW,SV,715.1546296324077,491.43365797490014
short,3,2016-01-01,CP,CP,992.6073808176503,992.6073808176503
short,3,2016-02-01,ZW,ZW,1198.5269047330705,1198.5269047330705
short,3,2016-03-01,SU,SU,1107.2274678616848,1107.2274678616848
short,3,2016-04-01,CT,CT,1074.6523397250678,1074.6523397250678
short,3,2016-05-01,CT,CT,1079.5369499234828,1079.5369499234828
short,3,2016-06-01,ZW,ZW,1060.2280546746867,1060.2280546746867
short,3,2016-07-01,ZC,ZC,1240.6684788259722,1240.6684788259722
short,3,2016-08-01,NG,NG,1203.060967716134,1203.060967716134
short,3,2016-09-01,CO,CO,1259.2154890181735,1259.2154890181735
short,3,2016-10-01,CC,CC,1180.233333670445,1180.233333670445
short,3,2016-11-01,HO,HO,1084.0796112051382,1084.0796112051382
short,3,2016-12-01,HO,HE,944.0321292588993,822.1484371239761
short,3,2017-01-01,CO,ZC,992.6124790606633,869.4863915658871
short,3,2017-02-01,ZW,GD,875.1834375121784,790.755674762846
