Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2023-11-01,[CC | 11.3%],[NG | 10.1%],[CF | 9.3%],[ZW | 7.8%],[HE | 7.1%],[NG | 8.6%],[ZW | 8.6%],[CC | 8.3%],[CF | 8.1%],[CO | 7.9%]
2023-12-01,[CP | 10.1%],[ZC | 8.8%],[LE | 8.1%],[CT | 7.6%],[HO | 6.8%],[ZC | 8.6%],[CF | 7.4%],[CP | 7.4%],[SU | 7.1%],[LE | 6.9%]
2024-01-01,[HE | 10.6%],[NG | 9.5%],[GD | 8.2%],[LE | 8.2%],[HO | 7.4%],[NG | 8.7%],[ZS | 8.7%],[HO | 7.7%],[SV | 7.1%],[ZC | 6.7%]
2024-02-01,[CP | 9.1%],[ZC | 8.9%],[NG | 7.9%],[CT | 7.8%],[CC | 7.7%],[HE | 7.9%],[CO | 7.8%],[ZC | 7.6%],[CP | 7.5%],[LE | 7.3%]
2024-03-01,[NG | 11.9%],[ZW | 9.4%],[ZS | 8.8%],[HE | 8.3%],[CC | 7.1%],[NG | 9.0%],[CC | 8.2%],[HE | 7.5%],[ZW | 7.5%],[GD | 7.2%]
2024-04-01,[ZC | 10.0%],[CP | 8.5%],[NG | 8.0%],[SV | 7.7%],[SU | 7.2%],[CP | 8.6%],[ZC | 8.3%],[NG | 7.3%],[SU | 7.0%],[HE | 6.9%]
2024-05-01,[ZS | 10.0%],[NG | 9.2%],[ZW | 8.9%],[CF | 8.2%],[LE | 8.0%],[NG | 8.4%],[ZW | 8.1%],[ZS | 7.7%],[SV | 7.4%],[HO | 7.3%]
2024-06-01,[ZC | 9.5%],[GD | 8.7%],[NG | 7.7%],[SU | 7.4%],[LE | 7.2%],[ZC | 8.8%],[NG | 7.6%],[GD | 7.2%],[CO | 7.2%],[CT | 7.0%]
2024-07-01,[CT | 10.9%],[NG | 9.8%],[ZC | 8.7%],[ZW | 7.8%],[ZS | 7.5%],[ZC | 8.6%],[CT | 7.6%],[NG | 7.6%],[ZW | 7.4%],[ZS | 6.9%]
2024-08-01,[ZC | 10.6%],[ZS | 8.6%],[SU | 8.4%],[CP | 7.5%],[GD | 7.2%],[ZC | 8.3%],[CC | 7.9%],[ZS | 7.7%],[CO | 7.0%],[SU | 7.0%]
2024-09-01,[NG | 10.8%],[ZC | 8.7%],[ZS | 8.5%],[ZW | 8.1%],[CT | 7.5%],[NG | 9.0%],[HE | 8.6%],[ZS | 7.8%],[ZC | 7.5%],[CP | 7.0%]
2024-10-01,[ZC | 8.9%],[CP | 8.9%],[SU | 8.7%],[NG | 7.0%],[ZS | 7.0%],[SU | 8.7%],[ZS | 7.9%],[ZW | 7.6%],[NG | 7.4%],[GD | 7.3%]
2024-11-01,[NG | 10.4%],[ZC | 8.8%],[HE | 8.2%],[GD | 7.6%],[ZS | 7.2%],[ZC | 8.3%],[SV | 8.1%],[CF | 7.8%],[LE | 7.7%],[CO | 7.2%]
2024-12-01,[CP | 10.4%],[ZC | 8.8%],[ZS | 8.0%],[SU | 7.5%],[ZW | 7.4%],[CP | 9.1%],[ZC | 8.4%],[CT | 8.1%],[SU | 7.5%],[CC | 7.1%]
