Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2023-09-01,[SU | 9.9%],[CP | 9.2%],[GD | 8.7%],[ZW | 7.5%],[ZC | 7.0%],[SU | 8.3%],[GD | 8.2%],[ZW | 7.7%],[SV | 7.6%],[CP | 7.3%]
2023-10-01,[ZS | 9.9%],[CC | 8.8%],[HO | 8.4%],[SU | 7.9%],[CF | 7.5%],[HO | 8.1%],[SV | 8.1%],[ZS | 7.8%],[CC | 7.5%],[SU | 7.4%]
2023-11-01,[CP | 11.8%],[SU | 10.5%],[ZC | 8.3%],[GD | 7.9%],[SV | 7.5%],[CP | 10.4%],[SU | 8.4%],[ZC | 8.1%],[LE | 7.5%],[CT | 7.2%]
2023-12-01,[ZS | 10.2%],[GD | 9.3%],[SU | 8.6%],[NG | 8.4%],[CC | 7.5%],[ZS | 8.8%],[SU | 7.7%],[SV | 7.6%],[CF | 7.4%],[LE | 7.3%]
2024-01-01,[CP | 9.7%],[CT | 8.1%],[ZC | 7.8%],[SU | 7.3%],[GD | 7.1%],[LE | 7.9%],[CT | 7.7%],[CF | 7.4%],[SU | 7.2%],[ZC | 7.1%]
2024-02-01,[GD | 10.1%],[SU | 10.0%],[ZS | 9.0%],[HO | 8.1%],[CO | 7.6%],[CO | 8.1%],[ZS | 7.9%],[LE | 7.6%],[HO | 7.6%],[GD | 7.4%]
2024-03-01,[SU | 10.2%],[LE | 9.7%],[CP | 9.4%],[HO | 8.3%],[GD | 7.5%],[LE | 7.7%],[HO | 7.6%],[ZC | 7.6%],[SU | 7.4%],[CO | 7.3%]
2024-04-01,[LE | 9.6%],[CF | 9.2%],[ZW | 8.0%],[NG | 7.9%],[CC | 7.5%],[CO | 7.8%],[CF | 7.8%],[LE | 7.5%],[ZS | 7.2%],[SU | 7.2%]
2024-05-01,[CC | 10.4%],[SU | 8.7%],[ZC | 8.0%],[GD | 7.9%],[CP | 7.8%],[SU | 9.6%],[ZC | 7.8%],[CP | 7.7%],[CC | 7.5%],[HE | 6.7%]
2024-06-01,[ZS | 9.1%],[SU | 8.5%],[HE | 8.3%],[LE | 7.6%],[CC | 7.3%],[CC | 9.2%],[HE | 8.5%],[CP | 8.1%],[CT | 7.1%],[CF | 7.0%]
2024-07-01,[CP | 9.8%],[CC | 9.6%],[SU | 8.3%],[CF | 7.8%],[SV | 7.5%],[SV | 8.6%],[CP | 8.3%],[CC | 7.5%],[GD | 7.3%],[LE | 7.0%]
2024-08-01,[SU | 9.3%],[GD | 8.7%],[LE | 8.5%],[NG | 7.7%],[CF | 7.5%],[ZW | 8.3%],[SU | 8.2%],[GD | 8.0%],[LE | 7.1%],[CP | 6.8%]
2024-09-01,[CC | 11.2%],[GD | 9.4%],[CF | 8.6%],[LE | 8.2%],[SV | 8.1%],[CC | 7.9%],[GD | 7.9%],[SV | 7.8%],[LE | 7.8%],[HE | 7.7%]
2024-10-01,[CC | 10.3%],[CF | 8.2%],[LE | 8.0%],[GD | 7.9%],[HE | 7.7%],[CC | 8.1%],[CT | 8.1%],[CF | 8.0%],[ZC | 7.6%],[GD | 7.1%]
2024-11-01,[CC | 11.1%],[SU | 9.5%],[GD | 9.4%],[CP | 8.1%],[LE | 8.0%],[CC | 9.0%],[CP | 8.7%],[LE | 8.7%],[SU | 8.2%],[GD | 8.1%]
2024-12-01,[CC | 10.2%],[HE | 9.8%],[GD | 8.8%],[LE | 7.2%],[SV | 7.0%],[CC | 7.7%],[GD | 7.6%],[ZS | 7.3%],[SU | 7.2%],[HO | 7.0%]
