Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2016-01-01,[CP | 100.0%],,,,,[ZS | 100.0%],,,,
2020-11-01,[HE | 11.7%],[LE | 10.8%],[NG | 9.0%],[HO | 8.7%],[ZS | 6.7%],[HE | 9.6%],[NG | 8.2%],[LE | 7.5%],[CP | 7.2%],[HO | 7.2%]
2020-12-01,[CP | 10.3%],[CC | 9.5%],[HE | 9.3%],[CF | 8.5%],[LE | 8.0%],[CP | 9.3%],[LE | 8.3%],[CC | 8.2%],[ZS | 7.7%],[CT | 7.1%]
2021-01-01,[LE | 10.2%],[CO | 8.3%],[SU | 7.8%],[ZC | 7.7%],[CF | 7.7%],[SU | 7.8%],[ZC | 7.5%],[GD | 7.4%],[LE | 7.3%],[CF | 7.1%]
2021-02-01,[CF | 10.3%],[CO | 10.2%],[HO | 7.8%],[ZS | 7.1%],[CP | 6.9%],[HO | 9.0%],[ZC | 8.3%],[LE | 7.5%],[CP | 7.3%],[CF | 7.0%]
2021-03-01,[GD | 8.8%],[HO | 8.7%],[CF | 8.7%],[CO | 7.8%],[CP | 7.1%],[GD | 10.1%],[CF | 8.8%],[CO | 7.4%],[LE | 7.4%],[CT | 6.9%]
2021-04-01,[HO | 10.4%],[LE | 8.4%],[NG | 8.3%],[CT | 8.2%],[CO | 7.7%],[HO | 8.6%],[LE | 8.4%],[CO | 8.2%],[CT | 7.7%],[HE | 7.4%]
2021-05-01,[NG | 8.8%],[CC | 8.2%],[HO | 7.8%],[CP | 7.6%],[CO | 7.6%],[CC | 8.6%],[GD | 7.8%],[CO | 7.7%],[HO | 7.5%],[LE | 7.3%]
2021-06-01,[CF | 11.5%],[CO | 10.2%],[SU | 9.2%],[HO | 8.0%],[LE | 7.5%],[CF | 9.0%],[SU | 7.9%],[CO | 7.7%],[HE | 7.6%],[LE | 7.1%]
2021-07-01,[CC | 8.9%],[CO | 8.7%],[CF | 7.9%],[LE | 7.6%],[SV | 7.4%],[NG | 8.5%],[CO | 8.0%],[CF | 7.8%],[SU | 7.7%],[SV | 6.9%]
2021-08-01,[CP | 11.1%],[HO | 10.1%],[CO | 7.8%],[LE | 7.6%],[GD | 6.9%],[ZS | 8.2%],[HO | 7.8%],[LE | 7.4%],[NG | 7.4%],[ZW | 7.3%]
2021-09-01,[ZC | 8.5%],[CO | 7.8%],[HE | 7.5%],[CT | 7.4%],[GD | 7.3%],[NG | 8.4%],[ZW | 8.0%],[CO | 7.4%],[HO | 7.2%],[LE | 7.0%]
2021-10-01,[HO | 8.9%],[CP | 8.4%],[CO | 7.6%],[LE | 7.1%],[SU | 7.0%],[CF | 8.3%],[LE | 7.9%],[HE | 7.3%],[CT | 7.2%],[SU | 7.1%]
2021-11-01,[HE | 9.1%],[CC | 8.7%],[LE | 8.4%],[CP | 8.0%],[ZC | 6.9%],[CC | 8.9%],[SU | 8.2%],[HE | 8.0%],[CP | 7.2%],[ZW | 7.1%]
2021-12-01,[LE | 11.3%],[HO | 9.9%],[HE | 9.2%],[CO | 8.9%],[SU | 7.2%],[LE | 7.9%],[CO | 7.6%],[HO | 7.6%],[NG | 7.5%],[ZS | 7.0%]
2022-01-01,[CC | 11.8%],[NG | 8.5%],[ZC | 7.3%],[LE | 7.1%],[CT | 6.9%],[CC | 8.0%],[NG | 7.7%],[HO | 7.5%],[ZC | 7.4%],[GD | 7.1%]
