Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2021-10-01,[CF | 11.0%],[SU | 10.1%],[HO | 8.6%],[CO | 8.1%],[NG | 7.5%],[GD | 9.5%],[CC | 8.2%],[SU | 8.1%],[CF | 8.1%],[HO | 7.2%]
2021-11-01,[SV | 13.0%],[CF | 12.0%],[CO | 11.2%],[HO | 9.1%],[GD | 6.9%],[SV | 9.9%],[CO | 9.0%],[HO | 8.7%],[GD | 7.6%],[CF | 7.3%]
2021-12-01,[CT | 11.2%],[CP | 10.5%],[NG | 10.3%],[SU | 9.2%],[CF | 9.1%],[CT | 9.4%],[NG | 9.2%],[SU | 7.3%],[CF | 7.1%],[ZC | 7.1%]
2022-01-01,[CF | 16.2%],[HE | 13.3%],[LE | 9.7%],[CO | 7.8%],[HO | 7.5%],[CF | 10.0%],[HE | 9.4%],[CP | 8.8%],[LE | 7.7%],[CO | 7.3%]
2022-02-01,[NG | 10.5%],[CF | 9.9%],[ZW | 9.0%],[HE | 8.1%],[CP | 8.1%],[ZW | 8.8%],[CF | 8.7%],[SU | 7.9%],[ZC | 7.7%],[NG | 7.7%]
2022-03-01,[NG | 13.8%],[HO | 10.2%],[HE | 9.8%],[CT | 8.9%],[GD | 7.8%],[HO | 9.9%],[NG | 9.2%],[CO | 8.1%],[CT | 7.6%],[CP | 7.0%]
2022-04-01,[CF | 11.8%],[NG | 11.2%],[HO | 9.9%],[ZC | 8.0%],[GD | 6.7%],[GD | 9.5%],[HO | 8.8%],[CF | 7.4%],[ZS | 7.2%],[CO | 7.2%]
2022-05-01,[NG | 18.0%],[HO | 13.8%],[CT | 9.3%],[CP | 8.3%],[ZW | 7.4%],[NG | 9.5%],[CT | 8.7%],[HO | 8.1%],[ZS | 7.5%],[ZW | 7.2%]
2022-06-01,[CT | 16.5%],[HO | 13.0%],[NG | 12.5%],[ZC | 9.3%],[ZW | 7.5%],[CT | 10.3%],[ZW | 8.8%],[HO | 8.8%],[ZC | 8.0%],[CP | 7.7%]
2022-07-01,[NG | 25.3%],[HE | 12.8%],[CP | 10.2%],[CT | 8.9%],[HO | 7.7%],[NG | 10.4%],[HE | 9.8%],[CT | 9.0%],[CC | 8.9%],[CF | 6.7%]
2022-08-01,[NG | 15.9%],[ZW | 9.3%],[HO | 9.1%],[LE | 9.0%],[HE | 9.0%],[ZW | 9.8%],[LE | 8.4%],[ZC | 8.2%],[CO | 7.3%],[HE | 7.2%]
2022-09-01,[NG | 21.3%],[HO | 11.7%],[CT | 10.0%],[CP | 8.8%],[ZW | 6.1%],[NG | 9.9%],[HO | 9.2%],[CT | 7.7%],[HE | 7.4%],[CO | 7.0%]
2022-10-01,[NG | 33.3%],[CT | 24.3%],[HO | 8.3%],[ZC | 5.7%],[CP | 4.5%],[NG | 12.7%],[CT | 11.6%],[HO | 9.2%],[ZC | 7.3%],[CP | 6.8%]
2022-11-01,[NG | 36.1%],[CT | 18.8%],[HO | 11.3%],[CF | 6.3%],[CO | 4.4%],[NG | 16.3%],[CT | 9.2%],[HO | 7.4%],[HE | 7.4%],[ZC | 6.7%]
2022-12-01,[NG | 15.8%],[HO | 14.7%],[ZW | 12.9%],[HE | 11.8%],[CT | 9.5%],[ZW | 10.3%],[HE | 10.0%],[ZC | 8.9%],[HO | 7.5%],[CF | 7.4%]
2023-01-01,[NG | 30.8%],[ZW | 9.3%],[CT | 9.2%],[HO | 8.0%],[HE | 7.4%],[NG | 8.9%],[HE | 8.3%],[ZW | 8.1%],[CC | 7.6%],[SV | 7.5%]
2023-02-01,[NG | 48.3%],[CT | 20.2%],[HE | 4.2%],[HO | 4.1%],[ZC | 3.9%],[NG | 17.6%],[CT | 10.9%],[CF | 7.2%],[HE | 6.8%],[SV | 6.5%]
2023-03-01,[CT | 27.0%],[NG | 24.7%],[ZW | 9.2%],[CP | 6.6%],[HO | 4.4%],[CT | 10.3%],[NG | 9.3%],[ZW | 8.0%],[CP | 8.0%],[ZS | 7.8%]
2023-04-01,[CT | 14.8%],[ZW | 12.3%],[HO | 11.2%],[NG | 9.5%],[ZC | 8.7%],[ZW | 8.6%],[SV | 7.9%],[CT | 7.7%],[CC | 7.7%],[SU | 7.4%]
2023-05-01,[NG | 38.3%],[CT | 14.6%],[CF | 8.0%],[SU | 5.6%],[CP | 4.9%],[NG | 13.3%],[CF | 8.4%],[GD | 6.9%],[CO | 6.6%],[ZS | 6.6%]
2023-06-01,[NG | 27.5%],[CT | 22.3%],[HO | 9.2%],[SU | 5.7%],[ZW | 5.7%],[CT | 8.8%],[NG | 8.0%],[HE | 7.7%],[SU | 7.5%],[CC | 7.3%]
2023-07-01,[CT | 16.8%],[NG | 12.6%],[ZW | 12.6%],[HO | 11.6%],[SU | 7.4%],[ZW | 9.5%],[ZC | 7.9%],[SU | 7.8%],[CT | 7.7%],[CC | 6.9%]
2023-08-01,[NG | 19.4%],[CT | 12.2%],[HO | 11.4%],[CP | 7.4%],[SV | 7.0%],[ZS | 9.0%],[HO | 8.0%],[CF | 7.6%],[CO | 7.1%],[SU | 7.1%]
2023-09-01,[NG | 32.6%],[CT | 13.6%],[CP | 8.6%],[SU | 6.9%],[SV | 6.6%],[NG | 11.0%],[CP | 8.1%],[SV | 8.1%],[ZC | 7.5%],[CT | 7.3%]
2023-10-01,[NG | 17.5%],[ZW | 13.3%],[CT | 12.6%],[HO | 9.9%],[ZS | 7.2%],[ZW | 8.8%],[ZS | 8.2%],[GD | 7.6%],[CF | 7.4%],[NG | 7.2%]
2023-11-01,[NG | 14.1%],[SU | 13.1%],[CT | 12.3%],[CP | 10.6%],[HE | 10.0%],[CT | 8.9%],[CP | 8.7%],[ZC | 8.7%],[HE | 8.6%],[SU | 8.1%]
2023-12-01,[NG | 25.4%],[CT | 11.3%],[GD | 9.1%],[SU | 8.5%],[SV | 7.2%],[ZS | 8.8%],[NG | 8.4%],[GD | 8.2%],[CC | 7.7%],[LE | 7.3%]
