Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2023-04-01,[NG | 51.2%],[CT | 18.8%],[CP | 5.7%],[HO | 4.1%],[HE | 3.1%],[NG | 14.9%],[CT | 11.6%],[CP | 7.6%],[GD | 7.5%],[HO | 6.5%]
2023-05-01,[CT | 21.8%],[NG | 16.1%],[ZW | 12.5%],[HO | 7.6%],[ZC | 7.6%],[CT | 8.9%],[ZW | 8.4%],[ZC | 8.3%],[HE | 8.0%],[HO | 7.6%]
2023-06-01,[NG | 23.2%],[CT | 15.1%],[CP | 11.3%],[GD | 6.1%],[ZW | 6.0%],[GD | 8.5%],[NG | 8.2%],[CP | 7.8%],[ZW | 7.3%],[HE | 7.2%]
2023-07-01,[NG | 38.3%],[CT | 16.0%],[HE | 8.6%],[CP | 5.2%],[GD | 4.8%],[NG | 12.3%],[GD | 9.0%],[HE | 8.1%],[CF | 7.7%],[CC | 7.0%]
2023-08-01,[NG | 26.2%],[CT | 21.8%],[ZW | 10.9%],[SV | 5.5%],[CP | 5.4%],[CT | 9.8%],[NG | 9.3%],[ZW | 8.3%],[HE | 7.3%],[CO | 7.1%]
2023-09-01,[NG | 14.4%],[CT | 12.7%],[CF | 8.9%],[ZW | 8.4%],[HO | 7.5%],[CF | 8.6%],[HE | 8.6%],[ZW | 8.0%],[ZS | 7.7%],[LE | 7.6%]
2023-10-01,[NG | 21.1%],[CT | 14.6%],[HO | 10.8%],[HE | 7.6%],[CP | 7.6%],[CP | 8.5%],[NG | 8.4%],[HE | 8.0%],[CO | 7.8%],[ZC | 7.6%]
2023-11-01,[NG | 26.3%],[HO | 17.0%],[CT | 7.5%],[ZS | 6.6%],[ZW | 5.8%],[NG | 10.2%],[ZS | 8.9%],[ZW | 8.4%],[CC | 8.2%],[CF | 7.8%]
2023-12-01,[HO | 14.2%],[NG | 13.1%],[ZW | 10.8%],[CF | 9.9%],[CT | 8.4%],[ZW | 9.1%],[HO | 8.4%],[CF | 8.3%],[SU | 7.7%],[CT | 7.7%]
2024-01-01,[NG | 18.1%],[SU | 13.8%],[CT | 10.1%],[HO | 10.0%],[GD | 9.4%],[NG | 9.8%],[SU | 8.4%],[GD | 8.4%],[ZS | 8.1%],[CT | 7.6%]
2024-02-01,[NG | 19.3%],[HE | 9.7%],[SU | 9.0%],[CT | 8.9%],[CP | 8.6%],[NG | 10.3%],[HE | 9.3%],[CP | 8.7%],[CC | 8.3%],[CT | 7.4%]
2024-03-01,[NG | 28.5%],[SU | 11.6%],[ZW | 9.3%],[CF | 8.1%],[ZS | 7.8%],[NG | 10.9%],[ZS | 9.1%],[SU | 8.1%],[ZW | 7.9%],[CC | 7.6%]
2024-04-01,[SU | 17.0%],[NG | 11.1%],[HO | 8.1%],[CC | 7.8%],[SV | 7.5%],[ZC | 9.3%],[SU | 8.8%],[CT | 8.4%],[CC | 7.6%],[NG | 7.6%]
2024-05-01,[NG | 18.3%],[SU | 12.3%],[HO | 11.3%],[CO | 10.0%],[CF | 7.6%],[NG | 9.3%],[CO | 9.2%],[HO | 8.5%],[LE | 7.8%],[SV | 7.8%]
2024-06-01,[NG | 14.6%],[SU | 12.3%],[CC | 11.1%],[HO | 10.8%],[ZW | 9.1%],[HO | 9.5%],[NG | 8.9%],[ZW | 8.6%],[CO | 8.4%],[ZC | 7.5%]
2024-07-01,[NG | 14.0%],[ZW | 12.5%],[CC | 12.2%],[CT | 11.7%],[SU | 7.9%],[NG | 9.1%],[CT | 8.6%],[ZW | 8.6%],[LE | 8.1%],[HE | 7.3%]
2024-08-01,[CC | 20.4%],[SU | 12.9%],[NG | 8.6%],[GD | 8.1%],[CT | 6.9%],[ZC | 8.3%],[ZS | 7.9%],[GD | 7.8%],[CC | 7.6%],[LE | 7.3%]
2024-09-01,[NG | 17.2%],[SU | 12.4%],[CC | 9.6%],[CF | 8.4%],[LE | 8.2%],[LE | 9.4%],[GD | 8.5%],[NG | 8.2%],[ZS | 8.2%],[CF | 7.7%]
2024-10-01,[SU | 23.6%],[NG | 17.6%],[CT | 11.2%],[CC | 9.2%],[ZW | 5.1%],[SU | 11.7%],[NG | 10.4%],[ZC | 7.9%],[SV | 7.5%],[ZW | 6.4%]
2024-11-01,[CC | 13.3%],[SU | 11.2%],[CT | 11.0%],[NG | 10.9%],[ZW | 9.1%],[CT | 8.6%],[NG | 8.3%],[HE | 7.9%],[CF | 7.3%],[SU | 7.2%]
2024-12-01,[ZW | 13.9%],[SU | 10.2%],[CC | 9.3%],[SV | 9.1%],[NG | 8.7%],[ZW | 9.0%],[ZS | 8.0%],[ZC | 7.7%],[SU | 7.7%],[HO | 7.6%]
