ticker,year,month,return,contract,start_date,start_value,end_date,end_value
SU,2011,3,-0.07945670628183366,SU_2011-05,2011-03-01,29.45,2011-03-31,27.11
SU,2011,4,-0.13758760604942832,SU_2011-05,2011-04-01,27.11,2011-04-29,23.38
SU,2011,5,0.044614691302388376,SU_2011-07,2011-05-02,22.19,2011-05-31,23.18
SU,2011,6,0.22346850733390844,SU_2011-07,2011-06-01,23.18,2011-06-30,28.36
SU,2011,8,-0.01558872305140957,SU_2011-10,2011-08-01,30.15,2011-08-31,29.68
SU,2011,9,-0.11432414256893064,SU_2011-10,2011-09-01,29.74,2011-09-30,26.34
SU,2012,1,0.010256410256410442,SU_2012-03,2012-01-03,23.4,2012-01-31,23.64
SU,2012,2,0.0790580319596299,SU_2012-03,2012-02-01,23.78,2012-02-29,25.66
SU,2012,3,-0.011599999999999944,SU_2012-05,2012-03-01,25.0,2012-03-30,24.71
SU,2012,4,-0.14222042139384106,SU_2012-05,2012-04-02,24.68,2012-04-30,21.17
SU,2012,5,-0.07699619771863109,SU_2012-07,2012-05-01,21.04,2012-05-31,19.42
SU,2012,6,0.1184615384615384,SU_2012-07,2012-06-01,19.5,2012-06-29,21.81
SU,2012,8,-0.12439132359451077,SU_2012-10,2012-08-01,22.59,2012-08-31,19.78
SU,2012,9,-0.01260716086737268,SU_2012-10,2012-09-04,19.83,2012-09-28,19.58
SU,2013,1,-0.04427480916030524,SU_2013-03,2013-01-02,19.65,2013-01-31,18.78
SU,2013,2,-0.024933687002652638,SU_2013-03,2013-02-01,18.85,2013-02-28,18.38
SU,2013,3,-0.037077426390403456,SU_2013-05,2013-03-01,18.34,2013-03-28,17.66
SU,2013,4,-0.0016949152542371504,SU_2013-05,2013-04-01,17.7,2013-04-30,17.67
SU,2013,5,-0.06125921724333516,SU_2013-07,2013-05-01,17.63,2013-05-31,16.55
SU,2013,6,-0.010271903323262888,SU_2013-07,2013-06-03,16.55,2013-06-28,16.38
SU,2013,8,-0.03598820058997043,SU_2013-10,2013-08-01,16.95,2013-08-30,16.34
SU,2013,9,0.06911314984709471,SU_2013-10,2013-09-03,16.35,2013-09-30,17.48
SU,2014,1,-0.0506715506715506,SU_2014-03,2014-01-02,16.38,2014-01-31,15.55
SU,2014,2,0.05984555984555984,SU_2014-03,2014-02-03,15.54,2014-02-28,16.47
SU,2014,3,0.011958997722095743,SU_2014-05,2014-03-03,17.56,2014-03-31,17.77
SU,2014,4,-0.0298255486775465,SU_2014-05,2014-04-01,17.77,2014-04-30,17.24
SU,2014,5,-0.021396396396396566,SU_2014-07,2014-05-01,17.76,2014-05-30,17.38
SU,2014,6,-0.047564469914040064,SU_2014-07,2014-06-02,17.45,2014-06-30,16.62
SU,2014,8,-0.060072815533980584,SU_2014-10,2014-08-01,16.48,2014-08-29,15.49
SU,2014,9,-0.004501607717041778,SU_2014-10,2014-09-02,15.55,2014-09-30,15.48
SU,2015,1,0.018595041322313932,SU_2015-03,2015-01-02,14.52,2015-01-30,14.79
SU,2015,2,-0.058147396889790315,SU_2015-03,2015-02-02,14.79,2015-02-27,13.93
SU,2015,3,-0.13987022350396539,SU_2015-05,2015-03-02,13.87,2015-03-31,11.93
SU,2015,4,0.08166666666666678,SU_2015-05,2015-04-01,12.0,2015-04-30,12.98
SU,2015,5,-0.08897338403041821,SU_2015-07,2015-05-01,13.15,2015-05-29,11.98
SU,2015,6,0.019087136929460513,SU_2015-07,2015-06-01,12.05,2015-06-30,12.28
SU,2015,8,-0.04468275245755138,SU_2015-10,2015-08-03,11.19,2015-08-31,10.69
SU,2015,9,0.13738317757009355,SU_2015-10,2015-09-01,10.7,2015-09-30,12.17
SU,2016,1,-0.13438735177865613,SU_2016-03,2016-01-04,15.18,2016-01-29,13.14
SU,2016,2,0.1021953065859198,SU_2016-03,2016-02-01,13.21,2016-02-29,14.56
SU,2016,3,0.0659722222222221,SU_2016-05,2016-03-01,14.4,2016-03-31,15.35
SU,2016,4,0.049350649350649256,SU_2016-05,2016-04-01,15.4,2016-04-29,16.16
SU,2016,5,0.06322188449848021,SU_2016-07,2016-05-02,16.45,2016-05-31,17.49
SU,2016,6,0.1600460564191133,SU_2016-07,2016-06-01,17.37,2016-06-30,20.15
SU,2016,8,0.05081194342587736,SU_2016-10,2016-08-01,19.09,2016-08-31,20.06
SU,2016,9,0.12481278082875691,SU_2016-10,2016-09-01,20.03,2016-09-30,22.53
SU,2017,1,0.04177279673968415,SU_2017-03,2017-01-03,19.63,2017-01-31,20.45
SU,2017,2,-0.05804878048780493,SU_2017-03,2017-02-01,20.5,2017-02-28,19.31
SU,2017,3,-0.13205592957017076,SU_2017-05,2017-03-01,19.31,2017-03-31,16.76
SU,2017,4,-0.05256940342587124,SU_2017-05,2017-04-03,16.93,2017-04-28,16.04
SU,2017,5,-0.08209876543209882,SU_2017-07,2017-05-01,16.2,2017-05-31,14.87
SU,2017,6,-0.08799999999999997,SU_2017-07,2017-06-01,15.0,2017-06-30,13.68
SU,2017,8,-0.03420523138832998,SU_2017-10,2017-08-01,14.91,2017-08-31,14.4
SU,2017,9,-0.04982456140350888,SU_2017-10,2017-09-01,14.25,2017-09-29,13.54
SU,2018,1,-0.12267904509283822,SU_2018-03,2018-01-02,15.08,2018-01-31,13.23
SU,2018,2,0.01889644746787611,SU_2018-03,2018-02-01,13.23,2018-02-28,13.48
SU,2018,3,-0.0817843866171003,SU_2018-05,2018-03-01,13.45,2018-03-29,12.35
SU,2018,4,-0.06569343065693434,SU_2018-05,2018-04-02,12.33,2018-04-30,11.52
SU,2018,5,0.08389830508474572,SU_2018-07,2018-05-01,11.8,2018-05-31,12.79
SU,2018,6,-0.07271305707584053,SU_2018-07,2018-06-01,12.79,2018-06-29,11.86
SU,2018,8,0.0037878787878786735,SU_2018-10,2018-08-01,10.56,2018-08-31,10.6
SU,2018,9,-0.020676691729323404,SU_2018-10,2018-09-04,10.64,2018-09-28,10.42
SU,2019,1,0.05206611570247932,SU_2019-03,2019-01-02,12.1,2019-01-31,12.73
SU,2019,2,0.0023622047244096223,SU_2019-03,2019-02-01,12.7,2019-02-28,12.73
SU,2019,3,-0.024902723735408583,SU_2019-05,2019-03-01,12.85,2019-03-29,12.53
SU,2019,4,-0.04309656823623298,SU_2019-05,2019-04-01,12.53,2019-04-30,11.99
SU,2019,5,-0.022617124394184285,SU_2019-07,2019-05-01,12.38,2019-05-31,12.1
SU,2019,6,0.015663643858202736,SU_2019-07,2019-06-03,12.13,2019-06-28,12.32
SU,2019,8,-0.08388157894736836,SU_2019-10,2019-08-01,12.16,2019-08-30,11.14
SU,2019,9,0.06428571428571428,SU_2019-10,2019-09-03,11.2,2019-09-30,11.92
SU,2020,1,0.08463251670378602,SU_2020-03,2020-01-02,13.47,2020-01-31,14.61
SU,2020,2,-0.005502063273727487,SU_2020-03,2020-02-03,14.54,2020-02-28,14.46
SU,2020,3,-0.26877192982456144,SU_2020-05,2020-03-02,14.25,2020-03-31,10.42
SU,2020,4,0.0,SU_2020-05,2020-04-01,10.39,2020-04-30,10.39
SU,2020,5,0.039047619047619,SU_2020-07,2020-05-01,10.5,2020-05-29,10.91
SU,2020,6,0.07930720145852321,SU_2020-07,2020-06-01,10.97,2020-06-30,11.84
SU,2020,8,-0.0007892659826361781,SU_2020-10,2020-08-03,12.67,2020-08-31,12.66
SU,2020,9,0.03238546603475512,SU_2020-10,2020-09-01,12.66,2020-09-30,13.07
SU,2021,1,0.011501597444089517,SU_2021-03,2021-01-04,15.65,2021-01-29,15.83
SU,2021,2,0.10043942247332094,SU_2021-03,2021-02-01,15.93,2021-02-26,17.53
SU,2021,3,-0.10755287009063452,SU_2021-05,2021-03-01,16.55,2021-03-31,14.77
SU,2021,4,0.18558803535010204,SU_2021-05,2021-04-01,14.71,2021-04-30,17.44
SU,2021,5,0.0199764982373678,SU_2021-07,2021-05-03,17.02,2021-05-28,17.36
SU,2021,6,0.006853226727584039,SU_2021-07,2021-06-01,17.51,2021-06-30,17.63
SU,2021,8,0.11086226203807392,SU_2021-10,2021-08-02,17.86,2021-08-31,19.84
SU,2021,9,-0.005017561465127995,SU_2021-10,2021-09-01,19.93,2021-09-30,19.83
SU,2022,1,-0.03801478352692722,SU_2022-03,2022-01-03,18.94,2022-01-31,18.22
SU,2022,2,-0.01585565882996165,SU_2022-03,2022-02-01,18.29,2022-02-28,18.0
SU,2022,3,0.09988713318284415,SU_2022-05,2022-03-01,17.72,2022-03-31,19.49
SU,2022,4,-0.003604531410916545,SU_2022-05,2022-04-01,19.42,2022-04-29,19.35
SU,2022,5,0.01730466701625577,SU_2022-07,2022-05-02,19.07,2022-05-31,19.4
SU,2022,6,-0.02938144329896908,SU_2022-07,2022-06-01,19.4,2022-06-30,18.83
SU,2022,8,0.017633674630261886,SU_2022-10,2022-08-01,17.58,2022-08-31,17.89
SU,2022,9,0.03135498320268759,SU_2022-10,2022-09-01,17.86,2022-09-30,18.42
SU,2023,1,0.08800000000000008,SU_2023-03,2023-01-03,20.0,2023-01-31,21.76
SU,2023,2,0.01284403669724754,SU_2023-03,2023-02-01,21.8,2023-02-28,22.08
SU,2023,3,0.10751617720258833,SU_2023-05,2023-03-01,20.09,2023-03-31,22.25
