Date,B1,B2,B3,B4,B5,G1,G2,G3,G4,G5
2021-08-01,[NG | 27.5%],[SV | 27.0%],[HO | 15.7%],[GD | 14.6%],[CO | 6.1%],[GD | 13.7%],[SV | 10.3%],[HO | 9.8%],[NG | 9.6%],[CC | 9.4%]
2021-09-01,[HE | 56.1%],[SU | 17.3%],[LE | 7.7%],[ZW | 4.6%],[NG | 4.1%],[SU | 12.7%],[LE | 11.9%],[HE | 9.4%],[CO | 8.6%],[ZW | 8.1%]
2021-10-01,[SU | 25.6%],[ZC | 24.6%],[ZW | 11.9%],[LE | 8.3%],[ZS | 7.5%],[LE | 11.9%],[SU | 10.9%],[ZS | 10.9%],[ZC | 10.7%],[ZW | 7.9%]
2021-11-01,[CF | 17.3%],[CP | 13.6%],[NG | 10.5%],[CC | 9.8%],[HE | 9.2%],[LE | 10.0%],[CP | 8.8%],[HE | 8.6%],[CC | 8.3%],[NG | 8.2%]
2021-12-01,[CT | 22.3%],[ZC | 14.5%],[HE | 9.2%],[SV | 9.1%],[CP | 7.8%],[LE | 9.5%],[CT | 9.4%],[ZS | 8.7%],[ZC | 8.4%],[CP | 8.4%]
2022-01-01,[SV | 45.8%],[GD | 33.0%],[ZC | 10.0%],[CT | 4.2%],[ZW | 2.0%],[GD | 18.3%],[SV | 15.4%],[ZC | 11.4%],[CT | 11.2%],[CO | 5.4%]
2022-02-01,[HO | 18.7%],[SU | 15.6%],[ZS | 15.5%],[CP | 14.8%],[CO | 11.5%],[ZS | 14.2%],[CP | 12.2%],[HO | 9.4%],[SU | 8.9%],[CC | 8.4%]
2022-03-01,[ZW | 26.0%],[NG | 19.3%],[HE | 14.1%],[ZC | 9.0%],[CT | 7.8%],[HE | 11.0%],[ZW | 10.8%],[NG | 9.9%],[ZC | 9.4%],[ZS | 8.3%]
2022-04-01,[NG | 36.4%],[CO | 12.9%],[CT | 11.3%],[CC | 10.2%],[HO | 5.4%],[NG | 11.1%],[CC | 10.0%],[CT | 9.9%],[ZC | 8.3%],[ZS | 8.2%]
2022-05-01,[CO | 34.2%],[HE | 25.9%],[HO | 8.1%],[LE | 8.0%],[SV | 7.3%],[LE | 12.2%],[HE | 11.4%],[SV | 8.7%],[HO | 8.2%],[SU | 7.9%]
2022-06-01,[CO | 30.1%],[NG | 24.0%],[SU | 11.1%],[ZW | 8.7%],[HO | 8.1%],[CO | 11.7%],[LE | 10.2%],[SU | 9.3%],[NG | 8.7%],[ZW | 8.4%]
2022-07-01,[SV | 36.5%],[CF | 33.8%],[NG | 6.1%],[GD | 5.5%],[CC | 3.8%],[SV | 11.6%],[GD | 10.9%],[LE | 10.5%],[CP | 10.4%],[CF | 10.2%]
